name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,regional_sales_total,decade,sales_tier,is_high_seller,na_sales_share,eu_sales_share,jp_sales_share,other_sales_share,dominant_region
Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,82.74000000000001,2000s,blockbuster,1,0.5014503263234228,0.3507372492144065,0.04556441866086536,0.10224800580130529,North America
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,40.24,1980s,blockbuster,1,0.7226640159045725,0.0889662027833002,0.169234592445328,0.019135188866799203,North America
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,35.830000000000005,2000s,blockbuster,1,0.44236673178900354,0.35947530002790956,0.1057772816075914,0.09238068657549538,North America
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,33.0,2000s,blockbuster,1,0.4772727272727273,0.3336363636363636,0.09939393939393938,0.08969696969696969,North America
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,31.380000000000003,1990s,blockbuster,1,0.3591459528362014,0.2833014659018483,0.325685149776928,0.0318674314850223,North America
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,30.259999999999998,1980s,blockbuster,1,0.7666886979510906,0.07468605419695969,0.1394580304031725,0.019167217448777262,North America
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,30.009999999999998,2000s,blockbuster,1,0.3792069310229924,0.30756414528490506,0.21659446851049652,0.09663445518160614,North America
Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,29.009999999999998,2000s,blockbuster,1,0.4836263357462944,0.31713202344019303,0.10099965529127888,0.09824198552223372,North America
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,28.61,2000s,blockbuster,1,0.5099615519049283,0.24676686473261097,0.16427822439706397,0.0789933589653967,North America
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,28.31,1980s,blockbuster,1,0.9512539738608266,0.022253620628753093,0.009890498057223597,0.01660190745319675,North America
Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,24.75,2000s,blockbuster,1,0.3664646464646465,0.4444444444444444,0.07797979797979798,0.1111111111111111,Europe
Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,23.43,2000s,blockbuster,1,0.4186939820742638,0.3230900554844217,0.17626973965002135,0.08194622279129321,North America
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,23.09,1990s,blockbuster,1,0.389779125162408,0.2676483326115201,0.3118233001299264,0.030749242096145515,North America
Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,22.72,2000s,blockbuster,1,0.39348591549295775,0.3534330985915493,0.15845070422535212,0.09463028169014084,North America
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,22.0,2000s,blockbuster,1,0.41318181818181815,0.39045454545454544,0.11499999999999999,0.08136363636363636,North America
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,21.82,2010s,blockbuster,1,0.6860678276810266,0.22639780018331807,0.010999083409715857,0.0765352887259395,North America
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,21.39,2010s,blockbuster,1,0.3277232351566152,0.4333800841514726,0.04534829359513791,0.19354838709677416,Europe
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,20.810000000000002,2000s,blockbuster,1,0.4531475252282556,0.01922152811148486,0.01970206631427198,0.5079288803459875,Other
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,20.62,1990s,blockbuster,1,0.6197866149369543,0.18186226964112512,0.1716779825412221,0.026673132880698353,North America
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,20.220000000000002,2000s,blockbuster,1,0.23491592482690402,0.45796241345202765,0.20573689416419386,0.10138476755687437,Europe
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,18.35,2000s,blockbuster,1,0.3498637602179836,0.24632152588555853,0.3291553133514986,0.07465940054495913,North America
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,18.14,1980s,blockbuster,1,0.5970231532524807,0.149393605292172,0.23042998897464165,0.02315325248070562,North America
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,17.28,1980s,blockbuster,1,0.5520833333333333,0.19907407407407407,0.2222222222222222,0.02662037037037037,North America
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,16.380000000000003,2010s,blockbuster,1,0.5879120879120878,0.3241758241758241,0.003663003663003662,0.08424908424908423,North America
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,16.150000000000002,2000s,blockbuster,1,0.5207430340557275,0.339938080495356,0.029102167182662533,0.11021671826625386,North America
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,15.84,2000s,blockbuster,1,0.38257575757575757,0.24621212121212122,0.33964646464646464,0.03156565656565657,North America
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,15.32,2010s,blockbuster,1,0.36357702349869453,0.21409921671018275,0.36879895561357706,0.05352480417754569,Japan
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,15.3,2000s,blockbuster,1,0.22483660130718952,0.35032679738562095,0.3477124183006536,0.07712418300653594,Europe
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,14.969999999999999,2000s,blockbuster,1,0.4575818303273213,0.34001336005344024,0.12491649966599869,0.07748830995323981,North America
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,14.76,2010s,blockbuster,1,0.6117886178861788,0.2899728997289973,0.00880758807588076,0.08943089430894309,North America
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,14.64,1990s,blockbuster,1,0.4023224043715847,0.3442622950819672,0.21311475409836064,0.04030054644808743,North America
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,14.64,2010s,blockbuster,1,0.66051912568306,0.2547814207650273,0.007513661202185792,0.07718579234972676,North America
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,14.349999999999998,2010s,blockbuster,1,0.36027874564459933,0.28222996515679444,0.30243902439024395,0.05505226480836238,North America
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,14.239999999999998,2010s,blockbuster,1,0.40519662921348315,0.4080056179775281,0.02457865168539326,0.16221910112359553,Europe
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,14.040000000000001,2010s,blockbuster,1,0.3554131054131054,0.41880341880341876,0.046296296296296294,0.1794871794871795,Europe
